V1 shortname gene ID
AAK1,chr2,-,69757139,69766553,69757139,69759294,69769654,69769797 AAK1 A3SS 6 AAK1 rMATS_1
AARSD1.PTGES3L-AARSD1,chr17,-,41108420,41108577,41108420,41108521,41109154,41109212 AARSD1 A3SS 13 AARSD1 rMATS_2
AASDHPPT,chr11,+,105950896,105961405,105948323,105950419,105962042,105962204 AASDHPPT SE 3 AASDHPPT rMATS_3
AASDHPPT,chr11,+,105959590,105961405,105949217,105950419,105962042,105962204 AASDHPPT SE 3a AASDHPPT rMATS_4
AASDHPPT,chr11,+,105961283,105961405,105950193,105950419,105962042,105962204 AASDHPPT SE 3b AASDHPPT rMATS_5
AATF,chr17,+,35343915,35344030,35311069,35311207,35345817,35346019 AATF SE 5 AATF rMATS_6
AATF,chr17,+,35388910,35388982,35373038,35378313,35413900,35414171 AATF SE 11 AATF rMATS_7
ABCA1,chr9,-,107581866,107582004,107576707,107581164,107582207,107582350 ABCA1 SE 23 ABCA1 rMATS_8
ABCA1,chr9,-,107652111,107652213,107651382,107651476,107665894,107666052 ABCA1 SE U1 ABCA1 rMATS_9
ABCA1,chr9,-,107665894,107668479,107646707,107651476,107690215,107690350 ABCA1 SE 2e ABCA1 rMATS_10
ABCA1,chr9,-,107665894,107668690,107651382,107651476,107690215,107690424 ABCA1 SE 2d ABCA1 rMATS_11
ABCA1,chr9,-,107665894,107668752,107651382,107651476,107690215,107690420 ABCA1 SE 2c ABCA1 rMATS_12
ABCA1,chr9,-,107665894,107681569,107646707,107651476,107690215,107690491 ABCA1 SE 2a ABCA1 rMATS_13
ABCA1,chr9,-,107665894,107681576,107651382,107651476,107690215,107690374 ABCA1 SE 2b ABCA1 rMATS_14
ABCA1,chr9,-,107665894,107686863,107651382,107651476,107690215,107690416 ABCA1 SE 2 ABCA1 rMATS_15
ABCA1,chr9,-,107665894,107689481,107651382,107651476,107690215,107690512 ABCA1 SE 1,2 ABCA1 rMATS_16
ABCA7,chr19,+,1056905,1057083,1056328,1056498,1057312,1057422 ABCA7 SE 34 ABCA7 rMATS_17
ABCA7,chr19,+,1058144,1058268,1057312,1057428,1058616,1058746 ABCA7 SE 37 ABCA7 rMATS_18
ABCB10,chr1,-,229665945,229667478,229665945,229666072,229667439,229667478 ABCB10 RI 8-7 ABCB10 rMATS_19
ABCB10,chr1,-,229674560,229674654,229667382,229667478,229675202,229675338 ABCB10 SE U1 ABCB10 rMATS_20
ABCC1,chr16,+,16196483,16197736,16184261,16184445,16200594,16200730 ABCC1 SE 21a ABCC1 rMATS_21
ABCC1,chr16,+,16196483,16199317,16184261,16184445,16200594,16200730 ABCC1 SE 21 ABCC1 rMATS_22
ABCC1,chr16,+,16218645,16218772,16215831,16216031,16219666,16219768 ABCC1 SE 26 ABCC1 rMATS_23
ABCC4,chr13,-,95815375,95815470,95811384,95813589,95815863,95815901 ABCC4 SE 20 ABCC4 rMATS_24
ABCC4,chr13,-,95861501,95861565,95858785,95860179,95861687,95861851 ABCC4 SE U1 ABCC4 rMATS_25
ABCC5,chr3,-,183681172,183681376,183679298,183679442,183682972,183683045 ABCC5 SE 19 ABCC5 rMATS_26
ABCD4,chr14,-,74764632,74764772,74762556,74763152,74766250,74766319 ABCD4 SE 4 ABCD4 rMATS_27
ABCF1,chr6,+,30548182,30550284,30548182,30548296,30550253,30550284 ABCF1 RI 8-9 ABCF1 rMATS_28
ABCF1,chr6,+,30548495,30550284,30548182,30548296,30550842,30550965 ABCF1 SE 9 ABCF1 rMATS_29
ABCF1,chr6,+,30548495,30550284,30550253,30550284,30548182,30548296 ABCF1 A3SS 9 ABCF1 rMATS_30
ABCF1,chr6,+,30557464,30558155,30557464,30557990,30558082,30558155 ABCF1 RI 21-24 ABCF1 rMATS_31
ABCF1,chr6,+,30558082,30558155,30557464,30557990,30558311,30558938 ABCF1 SE 24 ABCF1 rMATS_32
ABCF3,chr3,+,183905184,183905231,183904583,183904663,183905648,183905771 ABCF3 SE 4 ABCF3 rMATS_33
ABCF3,chr3,+,183905648,183905771,183904294,183905231,183905928,183906195 ABCF3 SE 6 ABCF3 rMATS_34
ABHD10,chr3,+,111700630,111700814,111697722,111698050,111705110,111705222 ABHD10 SE 2 ABHD10 rMATS_35
ABHD16A,chr6,-,31669850,31669907,31668914,31669117,31670926,31670999 BAT5,LY6G6E SE 3,7 BAT5,LY6G6E rMATS_36
ABHD2,chr15,+,89631668,89657055,89631668,89647501,89656955,89657055 ABHD2 RI 1-6 ABHD2 rMATS_37
ABHD2,chr15,+,89631686,89633603,89631686,89631794,89633513,89633603 ABHD2 RI 1-2 ABHD2 rMATS_38
ABHD2,chr15,+,89631686,89645807,89631686,89633603,89636862,89645807 ABHD2 RI 1-3 ABHD2 rMATS_39
ABHD2,chr15,+,89647245,89647275,89631694,89631794,89656955,89657055 ABHD2 SE 4 ABHD2 rMATS_40
ABHD2,chr15,+,89721148,89721248,89719042,89719226,89728654,89728747 ABHD2 SE U1 ABHD2 rMATS_41
ABHD2,chr15,+,89721148,89721253,89719042,89719226,89728654,89728747 ABHD2 SE U2 ABHD2 rMATS_42
ABHD2,chr15,+,89721148,89721493,89719042,89719226,89728654,89728747 ABHD2 SE U3 ABHD2 rMATS_43
ABHD3,chr18,-,19263880,19263926,19243638,19244191,19282276,19282459 ABHD3 SE 4 ABHD3 rMATS_44
ABHD3,chr18,-,19271485,19282115,19263880,19263926,19282276,19282459 ABHD3 SE U1 ABHD3 rMATS_45
ABHD5,chr3,+,43743403,43759349,43743403,43753355,43759257,43759349 ABHD5 RI 3-6 ABHD5 rMATS_46
ABHD5,chr3,+,43756438,43757287,43740767,43753355,43759162,43759349 ABHD5 SE 5a ABHD5 rMATS_47
ABHD5,chr3,+,43756438,43758239,43740767,43753355,43759162,43759349 ABHD5 SE 5 ABHD5 rMATS_48
ABHD5,chr3,+,43757061,43759349,43740767,43756550,43759934,43760053 ABHD5 SE 6 ABHD5 rMATS_49
ABHD5,chr3,+,43757137,43759349,43756438,43756550,43759934,43767408 ABHD5 SE 6a ABHD5 rMATS_50
ABHD5,chr3,+,43758788,43759349,43754262,43756550,43759934,43760853 ABHD5 SE 6b ABHD5 rMATS_51
ABHD5,chr3,+,43759257,43759349,43736394,43756550,43759934,43760053 ABHD5 SE 6c ABHD5 rMATS_52
ABI1,chr10,-,27040526,27054247,27040526,27048164,27054146,27054247 ABI1 RI 11-7a ABI1 rMATS_53
ABI1,chr10,-,27040526,27054247,27040526,27048167,27054146,27054247 ABI1 RI 11-7 ABI1 rMATS_54
ABI1,chr10,-,27047990,27048164,27040526,27040712,27054146,27054247 ABI1 SE 9a ABI1 rMATS_55
ABI1,chr10,-,27047990,27048167,27040526,27040712,27054146,27054247 ABI1 SE 9b ABI1 rMATS_56
ABI1,chr10,-,27047990,27048203,27040526,27040712,27054146,27054247 ABI1 SE 9 ABI1 rMATS_57
ABI1,chr10,-,27047990,27048221,27047990,27048164,27053438,27053568 ABI1 A3SS 9b ABI1 rMATS_58
ABI1,chr10,-,27047990,27048221,27047990,27048167,27053438,27053568 ABI1 A3SS 9a ABI1 rMATS_59
ABI1,chr10,-,27047990,27049003,27047990,27048167,27051668,27051738 ABI1 A3SS 9 ABI1 rMATS_60
ABI1,chr10,-,27047990,27053568,27047990,27048164,27053438,27053568 ABI1 RI 9-Ua ABI1 rMATS_61
ABI1,chr10,-,27047990,27053568,27047990,27048167,27051668,27053568 ABI1 RI 9-8 ABI1 rMATS_62
ABI1,chr10,-,27047990,27053568,27047990,27048167,27053438,27053568 ABI1 RI 9-U ABI1 rMATS_63
ABI1,chr10,-,27051668,27051738,27040526,27048164,27054146,27054247 ABI1 SE U1 ABI1 rMATS_64
ABI1,chr10,-,27051668,27053568,27047990,27048164,27054146,27054247 ABI1 SE 8 ABI1 rMATS_65
ABI1,chr10,-,27051668,27053568,27047990,27048167,27054146,27054247 ABI1 SE 8_v1 ABI1 rMATS_66
ABI1,chr10,-,27051668,27053568,27051668,27051738,27053438,27053568 ABI1 RI U-U ABI1 rMATS_67
ABI1,chr10,-,27053438,27053568,27047990,27048164,27054146,27054247 ABI1 SE U2 ABI1 rMATS_68
ABI1,chr10,-,27053438,27053568,27047990,27048167,27054146,27054247 ABI1 SE U3 ABI1 rMATS_69
ABI1,chr10,-,27057695,27057921,27054146,27054247,27059173,27059274 ABI1 SE 6 ABI1 rMATS_70
ABI1,chr10,-,27057780,27057921,27040526,27054247,27059173,27059274 ABI1 SE 6a ABI1 rMATS_71
ABI1,chr10,-,27059173,27066170,27059173,27059274,27060003,27066170 ABI1 RI 5-4 ABI1 rMATS_72
ABI1,chr10,-,27060003,27060018,27059173,27059274,27065993,27066170 ABI1 SE U4 ABI1 rMATS_73
ABI1,chr10,-,27060003,27066170,27060003,27060018,27065993,27066170 ABI1 RI U-4 ABI1 rMATS_74
ABI1,chr10,-,27076056,27078214,27076056,27076124,27112066,27112234 ABI1 A3SS U5 ABI1 rMATS_75
abParts.LOC96610,chr22,+,22661154,22661386,22658307,22658479,22661470,22661610 abParts.LOC96610 SE U1 abParts.LOC96610 rMATS_76
abParts.LOC96610,chr22,+,22661154,22661386,22661154,22661268,22661470,22661610 abParts.LOC96610 A5SS U2 abParts.LOC96610 rMATS_77
ABR,chr17,-,1003876,1003975,994904,995090,1028517,1028702 ABR SE 5 ABR rMATS_78
ABR,chr17,-,906757,909409,906757,909360,910404,910552 ABR A3SS 27 ABR rMATS_79
ABR,chr17,-,970316,970415,961984,962107,973208,973421 ABR SE 13 ABR rMATS_80
ABR,chr17,-,986759,986867,976864,976917,994904,995090 ABR SE 7 ABR rMATS_81
ABTB1,chr3,+,127391790,127393296,127391790,127391924,127393233,127393296 ABTB1 RI 1-2 ABTB1 rMATS_82
ABTB1,chr3,+,127393187,127393261,127393233,127393261,127391780,127391924 ABTB1 A3SS 2 ABTB1 rMATS_83
ACAA2,chr18,-,47311566,47318697,47311566,47317969,47318521,47318697 ACAA2 RI 9-6 ACAA2 rMATS_84
ACAA2,chr18,-,47311566,47318697,47311566,47317969,47318620,47318697 ACAA2 RI 9-6a ACAA2 rMATS_85
ACAA2,chr18,-,47318521,47318697,47318620,47318697,47311566,47317969 ACAA2 A5SS 6 ACAA2 rMATS_86
ACAD11.NPHP3-ACAD11,chr3,-,132325710,132325869,132323941,132324049,132337477,132337616 ACAD11.NPHP3-ACAD11 SE U1 ACAD11.NPHP3-ACAD11 rMATS_87
ACAD8,chr11,+,134126981,134127151,134123485,134126542,134128408,134128518 ACAD8 SE 3 ACAD8 rMATS_88
ACAD9,chr3,+,128618180,128618304,128618041,128618077,128620118,128620192 ACAD9 SE 9 ACAD9 rMATS_89
ACAD9,chr3,+,128620118,128621475,128620118,128621471,128622904,128622975 ACAD9 A5SS 11 ACAD9 rMATS_90
ACADM,chr1,+,76194073,76194173,76190031,76190502,76198328,76198426 ACADM SE 3a ACADM rMATS_91
ACADM,chr1,+,76194085,76194173,76190031,76190502,76198328,76198426 ACADM SE 3 ACADM rMATS_92
ACADVL,chr17,+,7127464,7127562,7127131,7127388,7127639,7127712 ACADVL SE 17 ACADVL rMATS_93
ACAP1,chr17,+,7240581,7240688,7239844,7240106,7245266,7245386 ACAP1 SE 2 ACAP1 rMATS_94
ACAP1,chr17,+,7240630,7240688,7239570,7240106,7245266,7245386 ACAP1 SE 2a ACAP1 rMATS_95
ACAP2,chr3,-,194999930,195000157,194998838,194999697,195006524,195006586 ACAP2 SE 23a ACAP2 rMATS_96
ACAP2,chr3,-,195000011,195000157,194995901,194999697,195006524,195006586 ACAP2 SE 23 ACAP2 rMATS_97
ACAP2,chr3,-,195027951,195047688,195027951,195029566,195047613,195047688 ACAP2 RI 12-9a ACAP2 rMATS_98
ACAP2,chr3,-,195027951,195047688,195027951,195041542,195047613,195047688 ACAP2 RI 12-9 ACAP2 rMATS_99
ACAP2,chr3,-,195046757,195047688,195047613,195047688,195041429,195041542 ACAP2 A5SS U1 ACAP2 rMATS_100
ACAP2,chr3,-,195131435,195131738,195112818,195112876,195163523,195163622 ACAP2 SE U2 ACAP2 rMATS_101
ACAP2,chr3,-,195131435,195133645,195112818,195112876,195163523,195163619 ACAP2 SE U3 ACAP2 rMATS_102
ACAT2,chr6,+,160188099,160188218,160183950,160184085,160189542,160189660 ACAT2 SE 4 ACAT2 rMATS_103
ACAT2,chr6,+,160189542,160189660,160183950,160184085,160196201,160196345 ACAT2 SE 5 ACAT2 rMATS_104
ACAT2,chr6,+,160196201,160196345,160183950,160184085,160197181,160197304 ACAT2 SE 6 ACAT2 rMATS_105
ACBD5,chr10,-,27499742,27499948,27497174,27497374,27504463,27504570 ACBD5 SE 12 ACBD5 rMATS_106
ACBD5,chr10,-,27499742,27500003,27497174,27497374,27504463,27504570 ACBD5 SE 12a ACBD5 rMATS_107
ACBD5,chr10,-,27499742,27500010,27497174,27497374,27504463,27504570 ACBD5 SE 12b ACBD5 rMATS_108
ACBD5,chr10,-,27512135,27512168,27508651,27508786,27512266,27512381 ACBD5 SE 7 ACBD5 rMATS_109
ACIN1,chr14,-,23535174,23537673,23535174,23535217,23536522,23537673 ACIN1 RI 13-12 ACIN1 rMATS_110
ACIN1,chr14,-,23535174,23538826,23535174,23535217,23538684,23538826 ACIN1 RI 13-11 ACIN1 rMATS_111
ACIN1,chr14,-,23536512,23537673,23536522,23537673,23535174,23535217 ACIN1 A5SS U1 ACIN1 rMATS_112
ACIN1,chr14,-,23536512,23537910,23535174,23535217,23538684,23538826 ACIN1 SE 12c ACIN1 rMATS_113
ACIN1,chr14,-,23536522,23536613,23535174,23535217,23538684,23538826 ACIN1 SE 12 ACIN1 rMATS_114
ACIN1,chr14,-,23536522,23537469,23535174,23535217,23538684,23538826 ACIN1 SE 12a ACIN1 rMATS_115
ACIN1,chr14,-,23536522,23537673,23535174,23535217,23538684,23538826 ACIN1 SE 12b ACIN1 rMATS_116
ACIN1,chr14,-,23536522,23537880,23535174,23535217,23538684,23538826 ACIN1 SE 12e ACIN1 rMATS_117
ACIN1,chr14,-,23536522,23537910,23535174,23535217,23538684,23538826 ACIN1 SE 12d ACIN1 rMATS_118
ACIN1,chr14,-,23540635,23540812,23538684,23538826,23547359,23547475 ACIN1 SE 9 ACIN1 rMATS_119
ACIN1,chr14,-,23559190,23559310,23548755,23551045,23559730,23559842 ACIN1 SE 4 ACIN1 rMATS_120
ACLY,chr17,-,40052872,40052902,40049285,40049427,40054001,40054092 ACLY SE 14 ACLY rMATS_121
ACLY,chr17,-,40057948,40058066,40054883,40055038,40060981,40061043 ACLY SE 11 ACLY rMATS_122
ACO2,chr22,+,41895729,41895866,41865008,41865186,41903794,41903874 ACO2 SE 2 ACO2 rMATS_123
ACOT9,chrX,-,23731251,23731325,23724744,23726061,23739997,23740101 ACOT9 SE 12 ACOT9 rMATS_124
ACOT9,chrX,-,23752457,23752484,23751288,23751334,23754035,23754133 ACOT9 SE 6 ACOT9 rMATS_125
ACP1,chr2,+,272036,272305,272036,272065,272191,272305 ACP1 RI 3-4 ACP1 rMATS_126
ACP1,chr2,+,272036,272305,272036,272150,275139,275201 ACP1 A5SS 3,4 ACP1 rMATS_127
ACSL1,chr4,-,185678972,185681654,185678972,185679046,185681510,185681654 ACSL1 RI 24-23 ACSL1 rMATS_128
ACSL1,chr4,-,185681510,185684409,185681510,185683677,185684320,185684409 ACSL1 RI 23-21 ACSL1 rMATS_129
ACSL1,chr4,-,185683560,185683677,185683560,185683647,185684320,185684409 ACSL1 A3SS 22 ACSL1 rMATS_130
ACSL1,chr4,-,185683560,185684409,185683560,185683647,185684320,185684409 ACSL1 RI 22-21 ACSL1 rMATS_131
ACSL1,chr4,-,185683560,185687140,185683560,185686079,185687044,185687140 ACSL1 RI 22-19 ACSL1 rMATS_132
ACSL1,chr4,-,185683560,185687910,185683560,185686079,185687775,185687910 ACSL1 RI 22-18 ACSL1 rMATS_133
ACSL1,chr4,-,185684320,185691630,185684320,185689604,185691552,185691630 ACSL1 RI 21-15 ACSL1 rMATS_134
ACSL1,chr4,-,185686006,185691630,185686006,185691486,185694234,185694308 ACSL1 A3SS 15,16 ACSL1 rMATS_135
ACSL1,chr4,-,185686006,185694308,185686006,185691630,185694234,185694308 ACSL1 RI 20-14 ACSL1 rMATS_136
ACSL1,chr4,-,185686006,185694868,185686006,185694308,185694816,185694868 ACSL1 RI 20-13 ACSL1 rMATS_137
ACSL1,chr4,-,185687775,185694868,185687775,185689604,185694816,185694868 ACSL1 RI 18-13 ACSL1 rMATS_138
ACSL1,chr4,-,185694234,185694308,185686006,185691630,185694816,185694868 ACSL1 SE 14 ACSL1 rMATS_139
ACSL1,chr4,-,185694234,185694308,185687044,185689604,185694816,185694868 ACSL1 SE 14_v1 ACSL1 rMATS_140
ACSL1,chr4,-,185696523,185696569,185694234,185695029,185697637,185697816 ACSL1 SE U1 ACSL1 rMATS_141
ACSL1,chr4,-,185696523,185697816,185694716,185695029,185698037,185698137 ACSL1 SE 11 ACSL1 rMATS_142
ACSL1,chr4,-,185697637,185697816,185694234,185695029,185698037,185698137 ACSL1 SE 11a ACSL1 rMATS_143
ACSL1,chr4,-,185701485,185709885,185701485,185705145,185709770,185709885 ACSL1 RI 9-6 ACSL1 rMATS_144
ACSL1,chr4,-,185709770,185724700,185709770,185709885,185724540,185724700 ACSL1 RI 6-5 ACSL1 rMATS_145
ACSL1,chr4,-,185735066,185735131,185709770,185724700,185747069,185747145 ACSL1 SE U2 ACSL1 rMATS_146
ACSL3,chr2,+,223754928,223757019,223752547,223752606,223765391,223765498 ACSL3 SE U1 ACSL3 rMATS_147
ACSL3,chr2,+,223756981,223757019,223750707,223752606,223765391,223765498 ACSL3 SE U2 ACSL3 rMATS_148
ACSL3,chr2,+,223765391,223765498,223737547,223752606,223773450,223773868 ACSL3 SE 3 ACSL3 rMATS_149
ACSL3,chr2,+,223782787,223782873,223773450,223781214,223783781,223783920 ACSL3 SE 6 ACSL3 rMATS_150
ACSL3,chr2,+,223789173,223791907,223789173,223789313,223791734,223791907 ACSL3 RI 11-12 ACSL3 rMATS_151
ACSL3,chr2,+,223789173,223793654,223789173,223791907,223793579,223793654 ACSL3 RI 11-13 ACSL3 rMATS_152
ACSL3,chr2,+,223790778,223790865,223789173,223789313,223791734,223793654 ACSL3 SE U3 ACSL3 rMATS_153
ACSL3,chr2,+,223791734,223791907,223789173,223789313,223795338,223795530 ACSL3 SE 12a ACSL3 rMATS_154
ACSL3,chr2,+,223791734,223791960,223787425,223789313,223795338,223795530 ACSL3 SE 12 ACSL3 rMATS_155
ACSL4,chrX,-,108904759,108904874,108902582,108902740,108906439,108906631 ACSL4 SE 15 ACSL4 rMATS_156
ACSL4,chrX,-,108939372,108939425,108926364,108926604,108976367,108976450 ACSL4 SE 2 ACSL4 rMATS_157
ACSL5,chr10,+,114170015,114170097,114169264,114169443,114170220,114170253 ACSL5 SE 11 ACSL5 rMATS_158
ACSL5,chr10,+,114181704,114181793,114181350,114181423,114182082,114182199 ACSL5 SE 20 ACSL5 rMATS_159
ACSS2,chr20,+,33501195,33501299,33500898,33500990,33501555,33501628 ACSS2 SE 5 ACSS2 rMATS_160
ACTN1,chr14,-,69376671,69376757,69376034,69376113,69378872,69378959 ACTN1 SE 7 ACTN1 rMATS_161
ACTN4,chr19,+,39200896,39202001,39201915,39202001,39200034,39200116 ACTN4 A3SS 8 ACTN4 rMATS_162
ACTR1A,chr10,-,104241593,104241655,104238985,104240929,104242767,104242860 ACTR1A SE 9 ACTR1A rMATS_163
ACTR1A,chr10,-,104241757,104241932,104240888,104240929,104242767,104242860 ACTR1A SE 8 ACTR1A rMATS_164
ACTR1B,chr2,-,98274889,98275106,98273320,98274779,98275341,98275466 ACTR1B SE 6 ACTR1B rMATS_165
ACTR2,chr2,+,65478160,65480998,65478160,65478233,65480861,65480998 ACTR2 RI 7-8 ACTR2 rMATS_166
